source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep2.log,1,51,26.69,26.69,0,54,54,0,0,30,-1.0,18.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,52,30.0,30.0,0,115,115,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,53,30.0,30.0,0,175,175,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,54,29.87,29.87,0,236,236,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,55,30.29,30.29,0,297,297,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,56,26.48,26.48,0,351,351,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,57,29.34,29.34,0,410,410,0,0,30,-1.0,19.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,58,26.87,26.87,0,464,464,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,59,29.78,29.78,0,524,524,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,60,30.0,30.0,0,584,584,0,0,30,-1.0,19.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,61,30.14,30.14,0,645,645,0,0,30,-1.0,18.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,62,29.9,29.9,0,705,705,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,63,25.01,25.01,0,756,756,0,0,30,-1.0,23.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,64,30.09,30.09,0,817,817,0,0,30,-1.0,21.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,65,29.91,29.91,0,877,877,0,0,30,-1.0,18.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,66,30.33,30.33,0,938,938,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,67,29.7,29.7,0,998,998,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,68,30.5,30.0,0,1060,1059,0,0,30,-1.0,20.0,-1.0,1.0,3,41.0,True
camera_sweep2.log,1,69,29.63,30.12,0,1120,1120,0,0,30,-1.0,22.0,-1.0,1.0,3,41.0,True
